Rank,French,Spanish,Word_IPA_ES,Word_IPA_LATAM,Phrase_ES,Phrase_FR,Phrase_IPA_ES,Phrase_ES_LATAM,Phrase_FR_LATAM,Phrase_IPA_LATAM,Notes,Exercise_Suggestions
72,vers,hacia,/aθia/,/asia/,Camina hacia la estación.,Il marche hacia la gare.,/kamina aθia la estaθion./,Camina hacia la estación.,Il marche hacia la gare.,/kamina asia la estasion./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
73,dès,desde,/desde/,/desde/,"Desde mañana, todo cambiará.","Dès demain, tout changera.","/desde maɲana, todo kambiara./","Desde mañana, todo cambiará.","Dès demain, tout changera.","/desde maɲana, todo kambiara./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
74,sous,debajo de,/debakso de/,/debakso de/,El gato está debajo de la mesa.,Le chat est sous la table.,/el gato esta debakso de la mesa./,El gato está debajo de la mesa.,Le chat est sous la table.,/el gato esta debakso de la mesa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
75,autour,alrededor,/alrededoɾ/,/alrededoɾ/,Pasean alrededor del parque.,Ils se promènent alrededor du parc.,/pasean alrededoɾ del parke./,Pasean alrededor del parque.,Ils se promènent alrededor du parc.,/pasean alrededoɾ del parke./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
76,parmi,entre,/entɾe/,/entɾe/,Está entre sus amigos.,Elle se encuentra parmi ses amis.,/esta entɾe sus amigos./,Está entre sus amigos.,Elle se encuentra parmi ses amis.,/esta entɾe sus amigos./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
77,pendant,durante,/duɾante/,/duɾante/,"Durante la reunión, habló.","Pendant la reunión, il a parlé.","/duɾante la reunion, ablo./","Durante la reunión, habló.","Pendant la reunión, il a parlé.","/duɾante la reunion, ablo./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
78,malgré,a pesar de,/a pesaɾ de/,/a pesaɾ de/,"A pesar de la lluvia, salimos.","Malgré la pluie, nous sommes sortis.","/a pesaɾ de la ʝubia, salimos./","A pesar de la lluvia, salimos.","Malgré la pluie, nous sommes sortis.","/a pesaɾ de la ʝubia, salimos./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
79,durant,durante,/duɾante/,/duɾante/,"Durante el verano, hace calor.","Durant l'été, il fait chaud.","/duɾante el berano, aθe kalor./","Durante el verano, hace calor.","Durant l'été, il fait chaud.","/duɾante el berano, ase kalor./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
80,maison,casa,/kasa/,/kasa/,La casa es hermosa.,La maison est belle.,/la kasa es ermosa./,La casa es hermosa.,La maison est belle.,/la kasa es ermosa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
81,livre,libro,/libɾo/,/libɾo/,Leo un libro.,Je lis un livre.,/leo un libro./,Leo un libro.,Je lis un livre.,/leo un libro./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
82,chat,gato,/gato/,/gato/,El gato duerme.,Le chat dort.,/el gato duerme./,El gato duerme.,Le chat dort.,/el gato duerme./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
83,chien,perro,/peɾo/,/peɾo/,El perro ladra.,Le chien aboie.,/el peɾo ladra./,El perro ladra.,Le chien aboie.,/el peɾo ladra./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
84,voiture,coche,/kotʃe/,/kotʃe/,El coche es rápido.,La voiture est rapide.,/el kotʃe es rapido./,El coche es rápido.,La voiture est rapide.,/el kotʃe es rapido./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
85,école,escuela,/eskuela/,/eskuela/,La escuela comienza a las ocho.,L'école commence à huit heures.,/la eskuela komienθa a las otʃo./,La escuela comienza a las ocho.,L'école commence à huit heures.,/la eskuela komiensa a las otʃo./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
86,temps,tiempo,/tiempo/,/tiempo/,El tiempo es bonito.,Le temps est beau.,/el tiempo es bonito./,El tiempo es bonito.,Le temps est beau.,/el tiempo es bonito./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
87,jour,día,/dia/,/dia/,Cada día cuenta.,Chaque jour compte.,/kada dia kuenta./,Cada día cuenta.,Chaque jour compte.,/kada dia kuenta./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
88,nuit,noche,/notʃe/,/notʃe/,La noche es silenciosa.,La nuit est silencieuse.,/la notʃe es silenθiosa./,La noche es silenciosa.,La nuit est silencieuse.,/la notʃe es silensiosa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
89,travail,trabajo,/tɾabakso/,/tɾabakso/,El trabajo es importante.,Le travail est important.,/el tɾabakso es importante./,El trabajo es importante.,Le travail est important.,/el tɾabakso es importante./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
90,argent,dinero,/dineɾo/,/dineɾo/,Él gana dinero.,Il gagne de l'argent.,/el gana dinero./,Él gana dinero.,Il gagne de l'argent.,/el gana dinero./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
91,vie,vida,/bida/,/bida/,La vida es bella.,La vie est belle.,/la bida es beʝa./,La vida es bella.,La vie est belle.,/la bida es beʝa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
92,amour,amor,/amoɾ/,/amoɾ/,El amor es universal.,L'amour est universel.,/el amoɾ es unibersal./,El amor es universal.,L'amour est universel.,/el amoɾ es unibersal./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
93,ami,amigo,/amigo/,/amigo/,Mi amigo es leal.,Mon ami est loyal.,/mi amigo es leal./,Mi amigo es leal.,Mon ami est loyal.,/mi amigo es leal./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
94,famille,familia,/familia/,/familia/,La familia es sagrada.,La famille est sacrée.,/la familia es sagrada./,La familia es sagrada.,La famille est sacrée.,/la familia es sagrada./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
95,cœur,corazón,/koɾaθon/,/koɾason/,El corazón late rápido.,Le cœur bat vite.,/el koɾaθon late rapido./,El corazón late rápido.,Le cœur bat vite.,/el koɾason late rapido./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
96,monde,mundo,/mundo/,/mundo/,El mundo es vasto.,Le monde est vaste.,/el mundo es basto./,El mundo es vasto.,Le monde est vaste.,/el mundo es basto./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
97,histoire,historia,/istoɾia/,/istoɾia/,La historia se repite.,L'histoire se répète.,/la istoɾia se repite./,La historia se repite.,L'histoire se répète.,/la istoɾia se repite./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
98,semaine,semana,/semana/,/semana/,La semana es larga.,La semaine est longue.,/la semana es larga./,La semana es larga.,La semaine est longue.,/la semana es larga./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
99,année,año,/aɲo/,/aɲo/,El próximo año será mejor.,L'année prochaine sera meilleure.,/el pɾoksimo aɲo seɾa meksor./,El próximo año será mejor.,L'année prochaine sera meilleure.,/el pɾoksimo aɲo seɾa meksor./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
100,mère,madre,/madɾe/,/madɾe/,Mi madre es amable.,Ma mère est gentille.,/mi madɾe es amable./,Mi madre es amable.,Ma mère est gentille.,/mi madɾe es amable./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
101,père,padre,/padɾe/,/padɾe/,Mi padre trabaja duro.,Mon père travaille dur.,/mi padɾe tɾabaksa duro./,Mi padre trabaja duro.,Mon père travaille dur.,/mi padɾe tɾabaksa duro./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
102,enfant,niño,/niɲo/,/niɲo/,El niño juega en el jardín.,L'enfant joue dans le jardin.,/el niɲo ksuega en el ksardin./,El niño juega en el jardín.,L'enfant joue dans le jardin.,/el niɲo ksuega en el ksardin./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
103,frère,hermano,/eɾmano/,/eɾmano/,Mi hermano es deportista.,Mon frère est sportif.,/mi eɾmano es deportista./,Mi hermano es deportista.,Mon frère est sportif.,/mi eɾmano es deportista./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
104,sœur,hermana,/eɾmana/,/eɾmana/,Mi hermana ama leer.,Ma sœur aime lire.,/mi eɾmana ama leer./,Mi hermana ama leer.,Ma sœur aime lire.,/mi eɾmana ama leer./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
105,homme,hombre,/ombɾe/,/ombɾe/,El hombre es valiente.,L'homme est courageux.,/el ombɾe es baliente./,El hombre es valiente.,L'homme est courageux.,/el ombɾe es baliente./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
106,femme,mujer,/mukseɾ/,/mukseɾ/,La mujer es inteligente.,La femme est intelligente.,/la mukseɾ es inteliksente./,La mujer es inteligente.,La femme est intelligente.,/la mukseɾ es inteliksente./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
107,nourriture,comida,/komida/,/komida/,La comida es deliciosa.,La nourriture est délicieuse.,/la komida es deliθiosa./,La comida es deliciosa.,La nourriture est délicieuse.,/la komida es delisiosa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
108,eau,agua,/agua/,/agua/,El agua está fría.,L'eau est froide.,/el agua esta fria./,El agua está fría.,L'eau est froide.,/el agua esta fria./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
109,rue,calle,/kaʝe/,/kaʝe/,La calle está animada.,La rue est animée.,/la kaʝe esta animada./,La calle está animada.,La rue est animée.,/la kaʝe esta animada./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
110,ville,ciudad,/θiudad/,/siudad/,La ciudad es moderna.,La ville est moderne.,/la θiudad es moderna./,La ciudad es moderna.,La ville est moderne.,/la siudad es moderna./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
111,pays,país,/pais/,/pais/,Este país es magnífico.,Ce pays est magnifique.,/este pais es magnifiko./,Este país es magnífico.,Ce pays est magnifique.,/este pais es magnifiko./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
112,langue,idioma,/idioma/,/idioma/,El idioma francés es hermoso.,La langue française est belle.,/el idioma fɾanθes es ermoso./,El idioma francés es hermoso.,La langue française est belle.,/el idioma fɾanses es ermoso./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
113,musique,música,/musika/,/musika/,La música suaviza las costumbres.,La musique adoucit les mœurs.,/la musika suabiθa las kostumbres./,La música suaviza las costumbres.,La musique adoucit les mœurs.,/la musika suabisa las kostumbres./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
114,chanson,canción,/kanθion/,/kansion/,Esta canción es popular.,Cette chanson est populaire.,/esta kanθion es popular./,Esta canción es popular.,Cette chanson est populaire.,/esta kansion es popular./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
115,film,película,/pelikula/,/pelikula/,La película fue cautivadora.,Le film était captivant.,/la pelikula fue kautibadora./,La película fue cautivadora.,Le film était captivant.,/la pelikula fue kautibadora./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
116,photo,fotografía,/fotogɾafia/,/fotogɾafia/,Tomé una buena fotografía.,J'ai pris une belle photo.,/tome una buena fotografia./,Tomé una buena fotografía.,J'ai pris une belle photo.,/tome una buena fotografia./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
117,vacances,vacaciones,/bakaθiones/,/bakasiones/,Las vacaciones llegan pronto.,Les vacances arrivent bientôt.,/las bakaθiones ʝegan pronto./,Las vacaciones llegan pronto.,Les vacances arrivent bientôt.,/las bakasiones ʝegan pronto./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
118,bureau,oficina,/ofiθina/,/ofisina/,La oficina está en el centro.,Le bureau est en centre-ville.,/la ofiθina esta en el θentro./,La oficina está en el centro.,Le bureau est en centre-ville.,/la ofisina esta en el sentro./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
119,restaurant,restaurante,/restauɾante/,/restauɾante/,El restaurante sirve platos deliciosos.,Le restaurant sert des plats délicieux.,/el restauɾante siɾbe platos deliθiosos./,El restaurante sirve platos deliciosos.,Le restaurant sert des plats délicieux.,/el restauɾante siɾbe platos delisiosos./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
120,marché,mercado,/meɾkado/,/meɾkado/,El mercado está lleno de colores.,Le marché est plein de couleurs.,/el meɾkado esta ʝeno de kolores./,El mercado está lleno de colores.,Le marché est plein de couleurs.,/el meɾkado esta ʝeno de kolores./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
